"rank_population","country_en","leader_name_en","local_file","source_url","license","license_url","author","credit","changes_made","download_date"
"46","Ghana","John Mahama","assets/final_portraits_3x4/046_GHA_John-Mahama.jpg","https://commons.wikimedia.org/wiki/File:John_Mahama_in_Yokohama_%28cropped%29.jpg","CC BY 4.0","","Cabinet Public Relations Office of the Cabinet Secretariat","TICAD 9 -Day 1- (2) (The Prime Minister in Action) | Prime Minister's Office of Japan","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"47","Yemen","Rashad al-Alimi","assets/final_portraits_3x4/047_YEM_Rashad-al-Alimi.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Rashad%20al-Alimi%20-%202022.jpg","CC BY-SA 4.0","","Ali mamon","Own work","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"48","Madagascar","Michael Randrianirina","assets/final_portraits_3x4/048_MDG_Michael-Randrianirina.jpg","https://commons.wikimedia.org/wiki/File:Michael_Randrianirina_in_February_2026.jpg","CC BY 4.0","","Presidential Executive Office of Russia","http://en.kremlin.ru/events/president/news/79182/photos/85331","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"49","Ivory Coast","Alassane Ouattara","assets/final_portraits_3x4/049_CIV_Alassane-Ouattara.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Alassane%20Ouattara%20-%202024%20%28cropped%29.jpg","Attribution","","Dario Pignatelli / European Union","https://newsroom.consilium.europa.eu/permalink/p184725 - https://newsroom.consilium.europa.eu/events/20240424-president-michel-visits-cote-d-ivoire/Pressstatements-27577/184725","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"50","Nepal","Ram Chandra Poudel","assets/final_portraits_3x4/050_NPL_Ram-Chandra-Poudel.jpg","https://commons.wikimedia.org/wiki/File:President_Ram_Chandra_Poudel%2C_Official_portrait_%28January_2024%29.jpg","CC BY 2.0","","Houses of the Oireachtas","https://www.flickr.com/photos/54097310@N08/53457375098/","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"51","Cameroon","Paul Biya","assets/final_portraits_3x4/051_CMR_Paul-Biya.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Biya%20in%20December%2014th%2C%202022.jpg","Public domain","","United States Department of State Africa U.S.-Africa Leaders Summit: Photos and Videos","https://www.state.gov/africasummit/photos/","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"52","Ukraine","Volodymyr Zelenskyy","assets/final_portraits_3x4/052_UKR_Volodymyr-Zelenskyy.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Volodymyr%20Zelensky%20Official%20portrait.jpg","CC BY 4.0","","me.gov.ua","https://me.gov.ua/Documents/Detail?lang=uk-UA&amp;id=11d61b18-e608-48ef-a22f-93c283fc84cc&amp;title=Vitseprem-rministrUkrainiMinistr2021","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"53","Venezuela","Delcy Rodriguez","assets/final_portraits_3x4/053_VEN_Delcy-Rodriguez.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Delcy%20Rodr%C3%ADguez%20portrait.jpg","CC BY-SA 4.0","","government.ru","This image has been extracted from another file","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"54","Australia","Sam Mostyn","public/ranking-corridor/2026-06-09-presidents-monthly-salaries/images/009_AUS_Sam-Mostyn.jpg","https://commons.wikimedia.org/wiki/File:Sam_Mostyn_2024.jpg","CC BY 3.0","https://creativecommons.org/licenses/by/3.0/","Governor-General of Australia","Governor-General of Australia / gg.gov.au","downloaded local portrait asset for Remotion; object-fit cover handles 3:4 frame","2026-06-09"
"55","Niger","Abdourahamane Tchiani","assets/final_portraits_3x4/055_NER_Abdourahamane-Tchiani.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Abdourahamane%20Tchiani%20in%202025%20%28cropped%29.jpg","","","","","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"56","North Korea","Kim Jong-un","assets/final_portraits_3x4/056_PRK_Kim-Jong-un.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Jong-un%20and%20Vladimir%20Putin%20%282023-09-13%29%2012%20%28cropped%29.jpg","CC BY 4.0","","Владимир Смирнов / ТАСС","КНДР поддерживает курс России на справедливое мироустройство (HQ); TASS Mediabank (ID 62123259)","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"57","Syria","Ahmed al-Sharaa","assets/final_portraits_3x4/057_SYR_Ahmed-al-Sharaa.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20al-Sharaa%2C%20President%20of%20Syria%2C%20in%20March%202026.jpg","CC BY 4.0","","Foreign, Commonwealth &amp; Development Office","Minister Falconer meets Syrian President","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"58","Burkina Faso","Ibrahim Traoré","assets/final_portraits_3x4/058_BFA_Ibrahim-Traoré.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Capitaine%20Ibrahim%20Traor%C3%A9.jpg","","","","","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"59","Taiwan","Lai Ching-te","assets/final_portraits_3x4/059_TWN_Lai-Ching-te.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/%E8%B3%B4%E6%B8%85%E5%BE%B7%E7%B8%BD%E7%B5%B1%201.jpg","Attribution","","總統府","https://www.president.gov.tw/Page/697","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"60","Mali","Assimi Goïta","assets/final_portraits_3x4/060_MLI_Assimi-Goïta.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Assimi%20Go%C3%AFta%20in%20July%202023.jpg","CC BY 4.0","","President of Russia,Kremlin","http://en.kremlin.ru/events/president/news/71842","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"61","Sri Lanka","Anura Kumara Dissanayake","assets/final_portraits_3x4/061_LKA_Anura-Kumara-Dissanayake.jpg","https://commons.wikimedia.org/wiki/File:Minister_of_External_Affairs%2C_Govt._of_Bharat%2C_Dr._Subrahmanyam_Jaishankar_with_the_President_of_Sri_Lanka_Mr._Anura_Kumara_Dissanayake_%28cropped%29.jpg","GODL-India","","Ministry of External Affairs
","



 
This file or its source was published by Press Information Bureau on behalf of Ministry of External Affairs, Government of India under the ID 173009. (direct link)
This tag does not indicate the copyright status of the attached work. A normal copyright tag is still required. See Commons:Licensing.


العربية ∙ বাংলা ∙ English ∙ हिन्दी ∙ 日本語 ∙ македонски ∙ മലയാളം ∙ polski ∙ தமிழ் ∙ ತುಳು ∙ 中文 ∙ 中文（简体） ∙ 中文（繁體） ∙ +/−



","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"62","Malawi","Peter Mutharika","assets/final_portraits_3x4/062_MWI_Peter-Mutharika.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Arthur%20Peter%20Mutharika%202014%20%28cropped%29.jpg","Public domain","","U.S. Department of State","https://www.flickr.com/photos/statephotos/14817425966/","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"63","Kazakhstan","Qasym-Zhomart Toqaev","assets/final_portraits_3x4/063_KAZ_Qasym-Zhomart-Toqaev.jpg","https://commons.wikimedia.org/wiki/File:2025_Tokayev_Address_to_the_Nation_%28cropped%29.jpg","CC BY 4.0","","Қазақстан премьер-министрі","Мемлекет басшысы Қасым-Жомарт Тоқаевтың «Жасанды интеллект дәуіріндегі Қазақстан: өзекті мәселелер және оны түбегейлі цифрлық өзгерістер арқылы шешу» атты Қазақстан халқына Жолдауы","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"64","Chile","José Antonio Kast","assets/final_portraits_3x4/064_CHL_José-Antonio-Kast.jpg","https://commons.wikimedia.org/wiki/File:Presidente_Jos%C3%A9_Antonio_Kast_en_marzo_de_2026.jpg","CC BY 3.0 cl","","Gobierno de Chile","https://prensa.presidencia.cl/comunicado.aspx?id=322094","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"65","Zambia","Hakainde Hichilema","assets/final_portraits_3x4/065_ZMB_Hakainde-Hichilema.jpg","https://commons.wikimedia.org/wiki/File:Hakainde_Hichilema_in_Japan_on_February_6%2C_2025_%28cropped%29.jpg","CC BY 4.0","","Cabinet Public Relations Office of the Cabinet Secretariat","Japan-Zambia Summit Meeting (The Prime Minister in Action) | Prime Minister's Office of Japan","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"66","Somalia","Hassan Sheikh Mohamud","assets/final_portraits_3x4/066_SOM_Hassan-Sheikh-Mohamud.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Hassan%20Sheikh%20Mohamud--StateDept%20Portrait--%20%28cropped%29.jpg","Public domain","","United States State Department","Flickr","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"67","Chad","Mahamat Déby","assets/final_portraits_3x4/067_TCD_Mahamat-Déby.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Mahamat%20D%C3%A9by.jpg","Public domain","","United States Department of State Africa U.S.-Africa Leaders Summit: Photos and Videos","https://www.state.gov/africasummit/photos/","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"68","Senegal","Bassirou Diomaye Faye","assets/final_portraits_3x4/068_SEN_Bassirou-Diomaye-Faye.jpg","https://commons.wikimedia.org/wiki/File:Bassirou_Diomaye_Faye_in_Yokohama_%28cropped%29.jpg","CC BY 4.0","","Cabinet Public Relations Office of the Cabinet Secretariat","TICAD9 -Day 1- (1) (The Prime Minister in Action) | Prime Minister's Office of Japan","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"69","Romania","Nicușor Dan","assets/final_portraits_3x4/069_ROU_Nicușor-Dan.jpg","https://commons.wikimedia.org/wiki/File:Nicu%C8%99or_Dan_-_Eastern_Flank_Summit_16_December_2025_%28cropped%29.jpg","CC BY 4.0","","FinnishGovernment","https://www.flickr.com/photos/finnishgovernment/54988218514/","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"70","Ecuador","Daniel Noboa","assets/final_portraits_3x4/070_ECU_Daniel-Noboa.jpg","https://commons.wikimedia.org/wiki/File:Noboa_en_24_mayo_de_2026.jpg","CC0","","Juan Montenegro/Presidencia de la República","https://www.flickr.com/photos/presidenciaecuador/55291048490/","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"71","Guatemala","Bernardo Arévalo de León","assets/final_portraits_3x4/071_GTM_Bernardo-Arévalo-de-León.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Bernardo%20Ar%C3%A9valo%20de%20Le%C3%B3n.jpg","Public domain","","Gobierno de Guatemala","https://www.flickr.com/photos/guatemalagob/54891043103/","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"72","Cambodia","Norodom Sihamoni","assets/final_portraits_3x4/072_KHM_Norodom-Sihamoni.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Ceremonial%20Reception%20of%20the%20King%20of%20Cambodia%2C%20Norodom%20Sihamoni%20on%20May%2030%2C%202023%20%283x4%20cropped%29.jpg","","","","","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"73","Zimbabwe","Emmerson Mnangagwa","assets/final_portraits_3x4/073_ZWE_Emmerson-Mnangagwa.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Emmerson%20Mnangagwa%20Official%20Portrait%20%28cropped%29.jpg","Public domain","","Government of Zimbabwe","Government of Zimbabwe","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"74","Guinea","Mamady Doumbouya","assets/final_portraits_3x4/074_GIN_Mamady-Doumbouya.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Mamadi%20Doumbouya%202022.jpg","Public domain","","Ambassade des Etats-Unis Conakry, Guinée","https://www.facebook.com/photo/?fbid=303743871782884","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"75","South Sudan","Salva Kiir Mayardit","assets/final_portraits_3x4/075_SSD_Salva-Kiir-Mayardit.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Salva%20Kiir%20Mayardit.jpg","CC BY-SA 3.0","","Photo Credit: Jenny Rockett","jenny.rockett@journalist.com","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"76","Rwanda","Paul Kagame","assets/final_portraits_3x4/076_RWA_Paul-Kagame.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Kagame%20MSC%202017.jpg","CC BY 3.0 de","","Hildenbrand /MSC","https://securityconference.org/en/medialibrary/asset/paul-kagame-1538-18-02-2017/","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"77","Benin","Romuald Wadagni","assets/final_portraits_3x4/077_BEN_Romuald-Wadagni.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Romuald%20Wadagni%20March%202026.jpg","CC BY-SA 4.0","","Bibamad","Own work","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"78","Burundi","Évariste Ndayishimiye","assets/final_portraits_3x4/078_BDI_Évariste-Ndayishimiye.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/%D0%AD%D0%B2%D0%B0%D1%80%D0%B8%D1%81%D1%82%20%D0%9D%D0%B4%D0%B0%D0%B9%D0%B8%D1%88%D0%B8%D0%BC%D0%B8%D0%B5%20%2818-02-2022%29%20%28cropped%29.jpg","CC BY 4.0","","Lukasz Kobus / European Commission","Visit of Evariste Ndayishimiye, President of Burundi, to the European Commission","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"79","Tunisia","Kais Saied","assets/final_portraits_3x4/079_TUN_Kais-Saied.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Kais%20Saied%202023.jpg","Attribution","","Quirinale","https://www.quirinale.it/elementi/93652","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"80","Jordan","Abdullah II of Jordan","assets/final_portraits_3x4/080_JOR_Abdullah-II-of-Jordan.jpg","https://commons.wikimedia.org/wiki/File:Abdullah_II_portrait_at_10_Downing_Street_February_2026_%28cropped%29.jpg","OGL 3","","Number 10","https://www.flickr.com/photos/number10gov/55100153570/","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"81","Belgium","Philippe of Belgium","assets/final_portraits_3x4/081_BEL_Philippe-of-Belgium.jpg","https://commons.wikimedia.org/wiki/File:Visit_of_King_Philippe_I_of_Belgium_to_Ghent_European_Youth_Capital_on_25_April_2024_-_EU2024BE_240425_Visit_of_His_Majesty_the_King_to_Ghent_European_Youth_Capital_Ghent_JNZT_0078_%2853677952391%29.jpg","CC BY 2.0","","Belgian Presidency of the Council of the EU 2024 from Belgium","EU2024BE_240425_Visit of His Majesty the King to Ghent European Youth Capital_Ghent_JNZT_0078","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
